"Title","ID","Created Date","Updated Date","Owner","Code"
"EUCHNER ES510","5c87bc1f-5eaf-4d15-a809-c5d1bf09c100",2024-07-04T15:47:09Z,2024-07-04T15:48:16Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 010422 EUCHNER ES510 "
"OMRON E2A-M18KS08-M1-B1","5d87d9a5-17cf-4674-a4c2-a92853aca44c",2024-07-04T16:01:26Z,2024-07-04T16:01:37Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E2A-M18KS08-M1-B1"
"PANASONIC FX-MR2","5f64b7b5-8483-4cb7-93e2-90811f7be19f",2024-07-04T16:04:27Z,2024-07-04T16:04:41Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FX-MR2"
"OMRON MY4IN-24DC(S)","5f77568b-41c3-438d-b60b-fefa7e854db3",2024-07-04T16:02:51Z,2024-07-04T16:03:08Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON MY4IN-24DC(S)"
"IFM OGH 501","5f9e98a7-7841-4a04-b1ae-d43723b42691",2024-07-04T15:52:40Z,2024-07-04T15:53:17Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OGH 501"
"LEUZE PRK 3B/66","5fea98ab-6b77-43db-9a77-626d7ba1867c",2024-07-04T15:59:02Z,2024-07-04T15:59:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50104693 LEUZE PRK 3B/66"
"BALLUF BES02MC","6792808a-e3d1-4463-81d9-47b4af01ca47",2024-07-04T15:44:43Z,2024-07-04T15:44:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BES 113-356-SA6-S4"
"ELTRA ER38F200S5/30P10XXPR5","696c4679-2780-47c8-afda-b09a9f45298d",2024-07-04T15:46:52Z,2024-07-04T15:47:00Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA ER38F200S5/30P10XXPR5"
"IFM EVC002","6b917b3e-f0b5-4bb4-a4b6-49db6180d2e9",2024-07-04T15:50:14Z,2024-07-04T15:51:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EVC002"
"OMRON GRT1-OD4G-1","6dc5e950-6243-4a54-84d4-88522e877ae7",2024-07-04T16:02:34Z,2024-07-04T16:02:50Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON GRT1-OD4G-1"
"OMRON D4NL-1AFA-B","6f0a9814-36d6-4bff-96d8-d9ed4d77c12d",2024-07-04T16:01:25Z,2024-07-04T16:01:34Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON D4NL-1AFA-B"
"SMC ZSE40F-01-62L","72d306ea-137f-4555-8daf-1a4589b1f63c",2024-07-04T16:05:58Z,2024-07-04T16:06:16Z,"8901a580-8b7d-4cf0-9262-299d87e21186","SMC ZSE40F-01-62L"
"IFM OU5010","73b81d98-df85-4d0a-8a3c-d41354723b4f",2024-07-04T15:52:42Z,2024-07-04T15:53:26Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OU5010"
"IFM KB5062","73f3d803-bc62-4223-b20c-580c78d95c78",2024-07-04T15:52:36Z,2024-07-04T15:52:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","KB5062"
"EUCHNER CES-AP-C01-CH-SB-111708","7578561f-64ea-4712-ad7e-9e5717614fd8",2024-07-04T15:47:05Z,2024-07-04T15:47:39Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 111708 EUCHNER CES-AP-C01-CH-SB-111708"
"OMRON E3S-LS10XE4","75d06ce0-6303-4c10-ae3e-411a9fc31a1c",2024-07-04T16:02:10Z,2024-07-04T16:02:22Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3S-LS10XE4"
